Localidad de residencia,Años F 0_9,Años F 10_19,Años F 20_29,Años F 30_39,Años F 40_49,Años F 50_59,Años F 60_69,Años F 70_79,Años F 80_89,Años F 90_99,Años F >100,Años M 0_9,Años M 10_19,Años M 20_29,Años M 30_39,Años M 40_49,Años M 50_59,Años M 60_69,Años M 70_79,Años M 80_89,Años M 90_99,Años M >100,Total_M,Total_F,TOTAL
ANTONIO NARIÑO,12.0,44.0,58.0,57.0,51.0,53.0,26.0,26.0,21.0,11.0,0.0,13.0,25.0,64.0,56.0,37.0,40.0,34.0,39.0,15.0,8.0,0.0,331.0,359.0,690.0
BARRIOS UNIDOS,13.0,15.0,46.0,51.0,44.0,27.0,19.0,8.0,6.0,1.0,0.0,9.0,14.0,40.0,54.0,31.0,40.0,31.0,21.0,3.0,1.0,0.0,244.0,230.0,474.0
BOSA,101.0,169.0,452.0,377.0,312.0,257.0,110.0,69.0,18.0,7.0,0.0,114.0,194.0,402.0,381.0,308.0,221.0,116.0,50.0,19.0,1.0,0.0,1806.0,1872.0,3678.0
CANDELARIA,4.0,6.0,22.0,15.0,13.0,8.0,6.0,2.0,1.0,0.0,0.0,4.0,22.0,48.0,57.0,12.0,9.0,8.0,5.0,1.0,1.0,0.0,167.0,77.0,244.0
CHAPINERO,10.0,18.0,81.0,85.0,62.0,41.0,31.0,13.0,7.0,3.0,0.0,14.0,47.0,113.0,74.0,70.0,38.0,33.0,11.0,7.0,4.0,0.0,411.0,351.0,762.0
CIUDAD BOLIVAR,71.0,138.0,350.0,327.0,240.0,179.0,116.0,58.0,28.0,7.0,0.0,62.0,145.0,347.0,315.0,255.0,169.0,99.0,72.0,19.0,5.0,0.0,1488.0,1514.0,3002.0
ENGATIVA,55.0,114.0,310.0,265.0,217.0,206.0,119.0,64.0,30.0,15.0,0.0,49.0,91.0,297.0,306.0,227.0,215.0,120.0,57.0,42.0,5.0,0.0,1409.0,1395.0,2804.0
FONTIBON,42.0,58.0,162.0,166.0,121.0,103.0,52.0,26.0,19.0,1.0,0.0,50.0,65.0,151.0,172.0,119.0,116.0,54.0,32.0,17.0,1.0,0.0,777.0,750.0,1527.0
FUERA DE BOGOTA,3.0,4.0,23.0,17.0,12.0,15.0,5.0,4.0,1.0,0.0,0.0,3.0,7.0,31.0,32.0,18.0,16.0,12.0,3.0,2.0,0.0,0.0,124.0,84.0,208.0
KENNEDY,178.0,276.0,756.0,699.0,644.0,470.0,253.0,123.0,58.0,10.0,1.0,180.0,299.0,785.0,773.0,626.0,479.0,255.0,141.0,52.0,5.0,0.0,3595.0,3468.0,7063.0
LOS MARTIRES,20.0,20.0,78.0,58.0,27.0,41.0,26.0,7.0,7.0,3.0,0.0,7.0,25.0,131.0,138.0,96.0,94.0,70.0,16.0,8.0,0.0,0.0,585.0,287.0,872.0
PUENTE ARANDA,32.0,65.0,112.0,124.0,87.0,69.0,30.0,16.0,13.0,4.0,0.0,27.0,48.0,175.0,182.0,109.0,112.0,36.0,16.0,12.0,2.0,0.0,719.0,552.0,1271.0
RAFAEL URIBE URIBE,32.0,66.0,180.0,181.0,141.0,101.0,66.0,42.0,21.0,8.0,0.0,27.0,55.0,167.0,175.0,122.0,112.0,104.0,79.0,22.0,4.0,0.0,867.0,838.0,1705.0
SAN CRISTOBAL,52.0,76.0,216.0,190.0,140.0,134.0,77.0,53.0,17.0,5.0,0.0,45.0,66.0,168.0,153.0,140.0,116.0,69.0,45.0,25.0,4.0,0.0,831.0,960.0,1791.0
SANTA FE,12.0,26.0,85.0,84.0,68.0,50.0,31.0,15.0,16.0,0.0,0.0,11.0,27.0,109.0,82.0,83.0,69.0,46.0,35.0,15.0,1.0,0.0,478.0,387.0,865.0
SIN DATO,40.0,39.0,178.0,189.0,134.0,103.0,56.0,28.0,12.0,5.0,0.0,39.0,56.0,190.0,254.0,158.0,109.0,82.0,35.0,19.0,1.0,1.0,944.0,784.0,1728.0
SUBA,89.0,139.0,416.0,401.0,306.0,249.0,120.0,66.0,39.0,12.0,1.0,93.0,140.0,379.0,393.0,264.0,239.0,141.0,57.0,39.0,5.0,0.0,1750.0,1838.0,3588.0
TEUSAQUILLO,11.0,15.0,68.0,68.0,51.0,54.0,18.0,17.0,16.0,2.0,0.0,10.0,15.0,63.0,99.0,65.0,55.0,23.0,13.0,11.0,1.0,0.0,355.0,320.0,675.0
TUNJUELITO,21.0,34.0,97.0,106.0,65.0,67.0,30.0,17.0,8.0,4.0,0.0,15.0,20.0,101.0,109.0,54.0,61.0,44.0,19.0,11.0,1.0,0.0,435.0,449.0,884.0
USAQUEN,36.0,31.0,131.0,151.0,119.0,90.0,74.0,24.0,27.0,6.0,0.0,39.0,67.0,145.0,162.0,113.0,82.0,70.0,33.0,8.0,4.0,0.0,723.0,689.0,1412.0
USME,36.0,57.0,151.0,146.0,117.0,97.0,59.0,21.0,10.0,0.0,0.0,33.0,47.0,131.0,128.0,87.0,85.0,70.0,28.0,5.0,2.0,0.0,616.0,694.0,1310.0
