Localidad,2020-03-06 00:00:00,2020-03-07 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-12 00:00:00,2020-04-13 00:00:00,2020-04-14 00:00:00,2020-04-15 00:00:00,2020-04-16 00:00:00,2020-04-17 00:00:00,2020-04-18 00:00:00,2020-04-19 00:00:00,2020-04-20 00:00:00,2020-04-21 00:00:00,2020-04-22 00:00:00,2020-04-23 00:00:00,2020-04-24 00:00:00,2020-04-25 00:00:00,2020-04-26 00:00:00,2020-04-27 00:00:00,2020-04-28 00:00:00,2020-04-29 00:00:00,2020-04-30 00:00:00,2020-05-01 00:00:00,2020-05-02 00:00:00,2020-05-03 00:00:00,2020-05-04 00:00:00,2020-05-05 00:00:00,2020-05-06 00:00:00,2020-05-07 00:00:00,2020-05-08 00:00:00,2020-05-09 00:00:00,2020-05-10 00:00:00,2020-05-11 00:00:00,2020-05-12 00:00:00,2020-05-13 00:00:00,2020-05-14 00:00:00,2020-05-15 00:00:00,2020-05-16 00:00:00,2020-05-17 00:00:00,2020-05-18 00:00:00,2020-05-19 00:00:00,2020-05-20 00:00:00,2020-05-21 00:00:00,2020-05-22 00:00:00,2020-05-23 00:00:00,2020-05-24 00:00:00,2020-05-25 00:00:00,2020-05-26 00:00:00,2020-05-27 00:00:00,2020-05-28 00:00:00,2020-05-29 00:00:00,2020-05-30 00:00:00,2020-05-31 00:00:00,2020-06-01 00:00:00,2020-06-02 00:00:00,2020-06-03 00:00:00,2020-06-04 00:00:00,2020-06-05 00:00:00,2020-06-06 00:00:00,2020-06-07 00:00:00,2020-06-08 00:00:00,2020-06-09 00:00:00,2020-06-10 00:00:00,2020-06-11 00:00:00,2020-06-12 00:00:00,2020-06-13 00:00:00,2020-06-14 00:00:00,2020-06-15 00:00:00,2020-06-16 00:00:00,2020-06-17 00:00:00,2020-06-18 00:00:00,2020-06-19 00:00:00,2020-06-20 00:00:00,2020-06-21 00:00:00,2020-06-22 00:00:00,2020-06-23 00:00:00,2020-06-24 00:00:00,2020-06-25 00:00:00,2020-06-26 00:00:00,2020-06-27 00:00:00,2020-06-28 00:00:00,2020-06-29 00:00:00,2020-06-30 00:00:00,2020-07-01 00:00:00,2020-07-02 00:00:00,2020-07-03 00:00:00,2020-07-04 00:00:00,2020-07-05 00:00:00
ANTONIO NARIÑO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,17.0,17.0,18.0,18.0,19.0,19.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,33.0,33.0,33.0,34.0,42.0,45.0,67.0,93.0,95.0,95.0,97.0,99.0,101.0,103.0,104.0,107.0,109.0,111.0,119.0,124.0,129.0,131.0,174.0,181.0,182.0,186.0,188.0,191.0,195.0,196.0,204.0,212.0,217.0,224.0,228.0,238.0,241.0,251.0,259.0,260.0,270.0,275.0,279.0,283.0,291.0,306.0,365.0,389.0,405.0,449.0,456.0,465.0,499.0,511.0,526.0,543.0,561.0,573.0,603.0,611.0,682.0,688.0,690.0,690.0
BARRIOS UNIDOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,6.0,6.0,9.0,9.0,10.0,10.0,11.0,14.0,15.0,15.0,18.0,19.0,22.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,27.0,33.0,35.0,36.0,37.0,39.0,39.0,42.0,43.0,43.0,45.0,46.0,48.0,49.0,52.0,53.0,55.0,55.0,57.0,58.0,59.0,59.0,64.0,64.0,65.0,70.0,72.0,73.0,75.0,78.0,80.0,81.0,81.0,89.0,92.0,98.0,102.0,103.0,105.0,110.0,111.0,121.0,125.0,131.0,134.0,135.0,140.0,147.0,153.0,159.0,164.0,168.0,175.0,184.0,193.0,201.0,209.0,213.0,219.0,221.0,225.0,233.0,240.0,250.0,260.0,270.0,292.0,300.0,309.0,328.0,336.0,351.0,371.0,391.0,399.0,424.0,441.0,460.0,472.0,474.0,474.0
BOSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,9.0,11.0,14.0,17.0,18.0,24.0,33.0,41.0,41.0,49.0,53.0,58.0,62.0,63.0,63.0,65.0,68.0,73.0,78.0,84.0,98.0,106.0,109.0,118.0,119.0,125.0,132.0,139.0,139.0,151.0,159.0,173.0,182.0,195.0,204.0,220.0,242.0,271.0,298.0,317.0,350.0,366.0,382.0,404.0,424.0,430.0,438.0,453.0,503.0,518.0,533.0,553.0,579.0,591.0,597.0,634.0,652.0,665.0,707.0,743.0,784.0,832.0,871.0,917.0,957.0,1024.0,1068.0,1104.0,1141.0,1189.0,1234.0,1292.0,1346.0,1414.0,1493.0,1517.0,1569.0,1607.0,1679.0,1715.0,1769.0,1847.0,1969.0,2091.0,2238.0,2303.0,2478.0,2556.0,2729.0,2802.0,2932.0,2998.0,3101.0,3203.0,3311.0,3403.0,3586.0,3652.0,3678.0,3678.0
CANDELARIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,13.0,38.0,38.0,39.0,46.0,52.0,54.0,54.0,56.0,64.0,67.0,71.0,79.0,81.0,89.0,93.0,93.0,95.0,99.0,101.0,104.0,108.0,109.0,110.0,114.0,116.0,121.0,125.0,128.0,145.0,173.0,180.0,182.0,189.0,190.0,196.0,200.0,211.0,219.0,231.0,236.0,240.0,242.0,244.0,244.0
CHAPINERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,12.0,12.0,16.0,17.0,17.0,19.0,20.0,29.0,29.0,34.0,36.0,38.0,40.0,45.0,46.0,48.0,49.0,61.0,66.0,67.0,75.0,76.0,76.0,78.0,80.0,80.0,81.0,81.0,82.0,82.0,86.0,95.0,96.0,99.0,101.0,104.0,104.0,104.0,105.0,106.0,111.0,113.0,117.0,119.0,120.0,123.0,125.0,125.0,126.0,130.0,130.0,133.0,136.0,136.0,136.0,137.0,139.0,141.0,142.0,148.0,148.0,150.0,151.0,159.0,165.0,167.0,170.0,177.0,180.0,182.0,184.0,193.0,198.0,207.0,213.0,249.0,261.0,273.0,291.0,295.0,302.0,307.0,312.0,318.0,334.0,343.0,351.0,361.0,378.0,385.0,396.0,411.0,425.0,439.0,448.0,467.0,482.0,505.0,526.0,550.0,559.0,575.0,606.0,631.0,651.0,698.0,723.0,743.0,759.0,762.0,762.0
CIUDAD BOLIVAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,6.0,6.0,7.0,10.0,15.0,15.0,26.0,28.0,45.0,47.0,50.0,50.0,55.0,58.0,63.0,65.0,70.0,82.0,92.0,101.0,106.0,109.0,109.0,117.0,124.0,127.0,140.0,146.0,151.0,152.0,165.0,169.0,176.0,188.0,197.0,207.0,223.0,238.0,250.0,256.0,263.0,277.0,285.0,290.0,302.0,325.0,334.0,351.0,362.0,375.0,397.0,409.0,434.0,446.0,454.0,474.0,491.0,515.0,549.0,600.0,630.0,658.0,678.0,709.0,768.0,786.0,816.0,858.0,894.0,921.0,1013.0,1091.0,1108.0,1142.0,1159.0,1199.0,1243.0,1321.0,1360.0,1423.0,1507.0,1627.0,1732.0,1862.0,1948.0,2111.0,2176.0,2276.0,2347.0,2506.0,2606.0,2696.0,2853.0,2957.0,2984.0,3002.0,3002.0
ENGATIVA,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,7.0,8.0,8.0,8.0,8.0,9.0,14.0,14.0,14.0,14.0,24.0,24.0,35.0,43.0,50.0,54.0,61.0,62.0,65.0,73.0,90.0,97.0,98.0,115.0,129.0,135.0,142.0,144.0,145.0,149.0,158.0,161.0,162.0,169.0,180.0,184.0,201.0,216.0,217.0,221.0,230.0,239.0,243.0,250.0,265.0,273.0,279.0,290.0,298.0,304.0,306.0,323.0,327.0,333.0,343.0,349.0,359.0,372.0,387.0,403.0,406.0,418.0,431.0,439.0,445.0,450.0,482.0,495.0,504.0,529.0,540.0,548.0,565.0,580.0,615.0,667.0,709.0,729.0,752.0,773.0,810.0,871.0,899.0,924.0,951.0,988.0,1013.0,1062.0,1103.0,1132.0,1166.0,1193.0,1217.0,1255.0,1291.0,1331.0,1401.0,1457.0,1556.0,1615.0,1678.0,1740.0,1894.0,1961.0,2048.0,2133.0,2228.0,2296.0,2445.0,2562.0,2719.0,2781.0,2804.0,2804.0
FONTIBON,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,9.0,9.0,13.0,13.0,17.0,20.0,27.0,27.0,32.0,33.0,35.0,37.0,37.0,42.0,50.0,58.0,58.0,67.0,74.0,75.0,78.0,80.0,80.0,81.0,86.0,86.0,89.0,97.0,100.0,109.0,112.0,116.0,116.0,118.0,123.0,127.0,130.0,135.0,141.0,149.0,152.0,158.0,163.0,167.0,180.0,189.0,196.0,198.0,204.0,211.0,219.0,246.0,254.0,260.0,263.0,274.0,287.0,304.0,309.0,312.0,329.0,353.0,360.0,379.0,395.0,395.0,411.0,416.0,440.0,469.0,479.0,486.0,517.0,543.0,565.0,592.0,599.0,622.0,632.0,644.0,657.0,683.0,697.0,718.0,751.0,764.0,777.0,794.0,831.0,857.0,883.0,921.0,969.0,1012.0,1054.0,1076.0,1144.0,1169.0,1212.0,1269.0,1331.0,1345.0,1394.0,1428.0,1471.0,1511.0,1527.0,1527.0
FUERA DE BOGOTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,10.0,11.0,13.0,14.0,16.0,18.0,18.0,19.0,20.0,21.0,23.0,24.0,25.0,27.0,28.0,28.0,29.0,31.0,34.0,40.0,44.0,44.0,45.0,45.0,46.0,47.0,53.0,56.0,57.0,60.0,63.0,67.0,69.0,69.0,79.0,80.0,83.0,85.0,89.0,93.0,98.0,100.0,104.0,106.0,106.0,107.0,108.0,110.0,113.0,113.0,120.0,121.0,123.0,126.0,133.0,138.0,146.0,146.0,149.0,153.0,158.0,172.0,173.0,175.0,175.0,176.0,176.0,184.0,185.0,189.0,190.0,196.0,197.0,201.0,201.0,203.0,205.0,208.0,208.0
KENNEDY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,16.0,21.0,29.0,33.0,35.0,38.0,43.0,59.0,72.0,83.0,85.0,99.0,112.0,122.0,134.0,142.0,144.0,151.0,158.0,164.0,172.0,191.0,213.0,231.0,250.0,271.0,282.0,305.0,321.0,363.0,411.0,432.0,458.0,483.0,492.0,514.0,531.0,554.0,581.0,619.0,670.0,723.0,798.0,857.0,896.0,956.0,1046.0,1081.0,1169.0,1255.0,1372.0,1441.0,1519.0,1541.0,1617.0,1677.0,1706.0,1807.0,1857.0,1916.0,1993.0,2104.0,2263.0,2442.0,2523.0,2606.0,2750.0,2830.0,2923.0,3039.0,3130.0,3218.0,3300.0,3402.0,3512.0,3661.0,3757.0,3814.0,3971.0,4113.0,4216.0,4361.0,4609.0,4800.0,5021.0,5180.0,5396.0,5541.0,5657.0,5731.0,6011.0,6113.0,6228.0,6319.0,6464.0,6548.0,6714.0,6809.0,6969.0,7022.0,7063.0,7063.0
